AM General Hummer SUV 2000
Acura RL Sedan 2012
Aston Martin V8 Vantage Convertible 2012
Audi RS 4 Convertible 2008
BMW ActiveHybrid 5 Sedan 2012
Bentley Continental Supersports Conv. Convertible 2012
Bugatti Veyron 16.4 Convertible 2009
Buick Regal GS 2012
Cadillac CTS-V Sedan 2012
Chevrolet Silverado 1500 Hybrid Crew Cab 2012
Chrysler Aspen SUV 2009
Daewoo Nubira Wagon 2002
Dodge Caliber Wagon 2012
Eagle Talon Hatchback 1998
FIAT 500 Abarth 2012
Ferrari FF Coupe 2012
Fisker Karma Sedan 2012
Ford F-450 Super Duty Crew Cab 2012
GMC Terrain SUV 2012
Geo Metro Convertible 1993
HUMMER H3T Crew Cab 2010
Honda Odyssey Minivan 2012
Hyundai Veloster Hatchback 2012
Infiniti G Coupe IPL 2012
Isuzu Ascender SUV 2008
Jaguar XK XKR 2012
Jeep Patriot SUV 2012
Lamborghini Reventon Coupe 2008
Land Rover Range Rover SUV 2012
Lincoln Town Car Sedan 2011
MINI Cooper Roadster Convertible 2012
Maybach Landaulet Convertible 2012
Mazda Tribute SUV 2011
McLaren MP4-12C Coupe 2012
Mercedes-Benz 300-Class Convertible 1993
Mitsubishi Lancer Sedan 2012
Nissan Leaf Hatchback 2012
Plymouth Neon Coupe 1999
Porsche Panamera Sedan 2012
Ram C-V Cargo Van Minivan 2012
Rolls-Royce Phantom Drophead Coupe Convertible 2012
Scion xD Hatchback 2012
Spyker C8 Convertible 2009
Suzuki Aerio Sedan 2007
Tesla Model S Sedan 2012
Toyota Sequoia SUV 2012
Volkswagen Golf Hatchback 2012
Volvo C30 Hatchback 2012
smart fortwo Convertible 2012
